"Exported to CSV on Wednesday, September 6, 2023"

"Person ID External","Job Title","Company","Academic degree","Status","Start year","End year","employee_education_VFLD3","Area Of Studies","Area of emphasis","employee_education_VFLD5","Country of study","Institution","Title earned"
"2000005747","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,,,"2000005747",,,"2000005747",,,
"2000005748","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,,,"2000005748",,,"2000005748",,,
"2000005761","TECNICO TOPOGRAFO","SATOR S.A.S (GRA-CO03)","ASSOCIATE'S",,,,"2000005761",,,"2000005761","COLOMBIA",,"TECNOLOGIA EN TOPOGRAFIA"
"2000005765","VAQUERO(A) SECTORISTA","FUNDACION GRUPO ARGOS (GRA-CO05)",,,,,"2000005765",,,"2000005765",,,
"2000005768","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,,,"2000005768",,,"2000005768",,,
"2000005771","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,,,"2000005771",,,"2000005771",,,
"2000005773","AUXILIAR DE CAMPO","TEKIA S.A.S (GRA-CO04)",,,,,"2000005773",,,"2000005773",,,
"2000005778","VAQUERO(A)","FUNDACION GRUPO ARGOS (GRA-CO05)",,,,,"2000005778",,,"2000005778",,,
"2000005789","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,,,"2000005789",,,"2000005789",,,
"2000005492","VAQUERO(A)","FUNDACION GRUPO ARGOS (GRA-CO05)",,,,,"2000005492",,,"2000005492",,,
"2000005498","LIDER SR. SOSTENIBILIDAD SATOR","SATOR S.A.S (GRA-CO03)","BACHELOR'S","GRADUATED","1999","2005","2000005498","ENGINEERING",,"2000005498","COLOMBIA",,"INGENIERIA AMBIENTAL"
"2000005498","LIDER SR. SOSTENIBILIDAD SATOR","SATOR S.A.S (GRA-CO03)","MASTER'S","GRADUATED","2017","2018","2000005498","SUSTAINABILITY",,"2000005498","SWEDEN",,
"2000005498","LIDER SR. SOSTENIBILIDAD SATOR","SATOR S.A.S (GRA-CO03)","MASTER'S","GRADUATED","2010","2012","2000005498","SUSTAINABILITY",,"2000005498","SPAIN",,
"2000005499","AUXILIAR DE CAMPO","TEKIA S.A.S (GRA-CO04)",,,,,"2000005499",,,"2000005499",,,
"2000005500","TECNICO DE MANTENIMIENTO","SATOR S.A.S (GRA-CO03)",,,,,"2000005500",,,"2000005500",,,
"2000005503","LIDER SR TESORERIA","GRUPO ARGOS S.A. (GRA-CO01)","MASTER'S","GRADUATED","2017","2019","2000005503","FINANCE",,"2000005503","COLOMBIA","Universidad EAFIT","MAESTRIA EN ADMINISTRACION FINANCIERA"
"2000005503","LIDER SR TESORERIA","GRUPO ARGOS S.A. (GRA-CO01)","HIGH SCHOOL","GRADUATED","1997","2005","2000005503","EDUCATION",,"2000005503","COLOMBIA",,"BACHILLERATO"
"2000005503","LIDER SR TESORERIA","GRUPO ARGOS S.A. (GRA-CO01)","BACHELOR'S","GRADUATED","2008","2013","2000005503","FINANCE",,"2000005503","COLOMBIA","Universidad EAFIT",
"2000005503","LIDER SR TESORERIA","GRUPO ARGOS S.A. (GRA-CO01)","BACHELOR'S","GRADUATED","2007","2013","2000005503","FINANCE",,"2000005503","COLOMBIA","Universidad EAFIT","ADMINISTRACION DE NEGOCIOS"
"2000005504","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,,,"2000005504",,,"2000005504",,,
"2000005511","DIRECTOR OPERACIONES","SATOR S.A.S (GRA-CO03)","BACHELOR'S",,,,"2000005511",,,"2000005511","COLOMBIA","Universidad Nacional de Colombia","INGENIERIA DE MINAS Y METALURGIA"
